GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score	WDN_Score	Ratio	Found_In	Isoform	Active Form
31	ACACA	Isoform 4 of Acetyl-CoA carboxylase 1	29	34.28	32.08	1/65	2	II	N
345651	ACTBL2	Beta-actin-like protein 2	3	1.23	1.15	9/65	2	I	Y
345651	ACTBL2	Beta-actin-like protein 2	2	1.00	0.91	9/65	2	I	N
345651	ACTBL2	Beta-actin-like protein 2	3	1.24	1.15	9/65	2	III	Y
51412	ACTL6B	Actin-like protein 6B	2	1.13	1.05	8/65	2	I	Y
11047	ADRM1	Proteasomal ubiquitin receptor ADRM1	3	2.76	2.58	4/65	2	I	Y
191	AHCY	Adenosylhomocysteinase	7	0.81	1.07	21/65	2	III	Y
301	ANXA1	Annexin A1	4	6.37	6.00	2/65	2	III	N
23192	ATG4B	Isoform 2 of Cysteine protease ATG4B	2	8.98	8.16	1/65	2	I	N
563	AZGP1	Zinc-alpha-2-glycoprotein	2	2.25	2.12	4/65	2	III	N
7917	BAG6	Isoform 2 of Large proline-rich protein BAG6	8	2.57	2.72	7/65	2	I	Y
9274	BCL7C	Isoform 2 of B-cell CLL/lymphoma 7 protein family member C	2	1.00	0.94	9/65	2	I	Y
84310	C7orf50	Uncharacterized protein C7orf50	2	1.13	1.05	8/65	2	I	Y
80212	CCDC92	Coiled-coil domain-containing protein 92	2	2.25	2.11	4/65	2	I	Y
55602	CDKN2AIP	CDKN2A-interacting protein	2	1.50	1.40	6/65	2	I	Y
9859	CEP170	Isoform 2 of Centrosomal protein of 170 kDa	4	0.98	1.61	13/65	2	I	Y
9859	CEP170	Isoform 2 of Centrosomal protein of 170 kDa	2	0.69	1.17	13/65	2	II	N
7464	CORO2A	Coronin-2A	2	1.01	0.94	9/65	2	III	Y
1476	CSTB	Cystatin-B	1	1.06	1.00	6/65	2	III	N
1659	DHX8	ATP-dependent RNA helicase DHX8	2	1.13	1.05	8/65	2	I	Y
1755	DMBT1	Isoform 2 of Deleted in malignant brain tumors 1 protein	1	3.18	2.98	2/65	2	II	N
3300	DNAJB2	Isoform 2 of DnaJ homolog subfamily B member 2	2	3.00	2.81	3/65	2	I	Y
11034	DSTN	Destrin	2	4.55	4.24	2/65	2	III	Y
10969	EBNA1BP2	Probable rRNA-processing protein EBP2	2	1.80	1.68	5/65	2	I	Y
